{# TYPE, slot, tier, x, y, famebonus},
{#111B, 10, -1, 280, 80, 0},
{#101C, 10, -1, 320, 80, 0},
{#111C, 10, -1, 360, 80, 0},
{#101D, 10, -1, 400, 80, 0},
{#111D, 10, -1, 440, 80, 0},
{#101E, 10, -1, 480, 80, 0},
{#111E, 10, -1, 520, 80, 0},
{#101F, 10, -1, 560, 80, 0},
{#111F, 10, -1, 600, 80, 0},
{#1020, 10, -1, 640, 80, 0},
{#1120, 10, -1, 680, 80, 0},
{#1021, 10, -1, 720, 80, 0},
{#1121, 10, -1, 760, 80, 0},
{#1022, 10, -1, 800, 80, 0},
{#1122, 10, -1, 840, 80, 0},
{#1023, 10, -1, 880, 80, 0},
{#1123, 10, -1, 920, 80, 0},
{#1024, 10, -1, 960, 80, 0},
{#1124, 10, -1, 0, 120, 0},
{#1025, 10, -1, 40, 120, 0},
{#1125, 10, -1, 80, 120, 0},
{#1026, 10, -1, 120, 120, 0},
{#1126, 10, -1, 160, 120, 0},
{#1027, 10, -1, 200, 120, 0},
{#1127, 10, -1, 240, 120, 0},
{#1028, 10, -1, 280, 120, 0},
{#1128, 10, -1, 320, 120, 0},
{#1029, 10, -1, 360, 120, 0},
{#1129, 10, -1, 400, 120, 0},
{#102A, 10, -1, 440, 120, 0},
{#112A, 10, -1, 480, 120, 0},
{#102B, 10, -1, 520, 120, 0},
{#112B, 10, -1, 560, 120, 0},
{#102C, 10, -1, 600, 120, 0},
{#112C, 10, -1, 640, 120, 0},
{#102D, 10, -1, 680, 120, 0},
{#112D, 10, -1, 720, 120, 0},
{#102E, 10, -1, 760, 120, 0},
{#112E, 10, -1, 800, 120, 0},
{#102F, 10, -1, 840, 120, 0},
{#112F, 10, -1, 880, 120, 0},
{#1030, 10, -1, 920, 120, 0},
{#1130, 10, -1, 960, 120, 0},
{#1031, 10, -1, 0, 160, 0},
{#1131, 10, -1, 40, 160, 0},
{#1032, 10, -1, 80, 160, 0},
{#1132, 10, -1, 120, 160, 0},
{#1033, 10, -1, 160, 160, 0},
{#1133, 10, -1, 200, 160, 0},
{#1034, 10, -1, 240, 160, 0},
{#1134, 10, -1, 280, 160, 0},
{#1035, 10, -1, 320, 160, 0},
{#1135, 10, -1, 360, 160, 0},
{#1036, 10, -1, 400, 160, 0},
{#1136, 10, -1, 440, 160, 0},
{#1037, 10, -1, 480, 160, 0},
{#1137, 10, -1, 520, 160, 0},
{#1038, 10, -1, 560, 160, 0},
{#1138, 10, -1, 600, 160, 0},
{#1039, 10, -1, 640, 160, 0},
{#1139, 10, -1, 680, 160, 0},
{#103A, 10, -1, 720, 160, 0},
{#113A, 10, -1, 760, 160, 0},
{#103B, 10, -1, 800, 160, 0},
{#113B, 10, -1, 840, 160, 0},
{#103C, 10, -1, 880, 160, 0},
{#113C, 10, -1, 920, 160, 0},
{#103D, 10, -1, 960, 160, 0},
{#113D, 10, -1, 0, 200, 0},
{#103E, 10, -1, 40, 200, 0},
{#113E, 10, -1, 80, 200, 0},
{#103F, 10, -1, 120, 200, 0},
{#113F, 10, -1, 160, 200, 0},
{#1040, 10, -1, 200, 200, 0},
{#1140, 10, -1, 240, 200, 0},
{#1041, 10, -1, 280, 200, 0},
{#1141, 10, -1, 320, 200, 0},
{#1042, 10, -1, 360, 200, 0},
{#1142, 10, -1, 400, 200, 0},
{#1043, 10, -1, 440, 200, 0},
{#1143, 10, -1, 480, 200, 0},
{#1044, 10, -1, 520, 200, 0},
{#1144, 10, -1, 560, 200, 0},
{#1045, 10, -1, 600, 200, 0},
{#1145, 10, -1, 640, 200, 0},
{#1046, 10, -1, 680, 200, 0},
{#1146, 10, -1, 720, 200, 0},
{#1047, 10, -1, 760, 200, 0},
{#1147, 10, -1, 800, 200, 0},
{#1048, 10, -1, 840, 200, 0},
{#1148, 10, -1, 880, 200, 0},
{#1049, 10, -1, 920, 200, 0},
{#1149, 10, -1, 960, 200, 0},
{#104A, 10, -1, 0, 240, 0},
{#114A, 10, -1, 40, 240, 0},
{#104B, 10, -1, 80, 240, 0},
{#114B, 10, -1, 120, 240, 0},
{#104C, 10, -1, 160, 240, 0},
{#114C, 10, -1, 200, 240, 0},
{#104D, 10, -1, 240, 240, 0},
{#114D, 10, -1, 280, 240, 0},
{#104E, 10, -1, 320, 240, 0},
{#114E, 10, -1, 360, 240, 0},
{#104F, 10, -1, 400, 240, 0},
{#114F, 10, -1, 440, 240, 0},
{#1050, 10, -1, 480, 240, 0},
{#1150, 10, -1, 520, 240, 0},
{#1051, 10, -1, 560, 240, 0},
{#1151, 10, -1, 600, 240, 0},
{#1052, 10, -1, 640, 240, 0},
{#1152, 10, -1, 680, 240, 0},
{#1053, 10, -1, 720, 240, 0},
{#1153, 10, -1, 760, 240, 0},
{#1054, 10, -1, 800, 240, 0},
{#1154, 10, -1, 840, 240, 0},
{#1055, 10, -1, 880, 240, 0},
{#1155, 10, -1, 920, 240, 0},
{#1056, 10, -1, 960, 240, 0},
{#1156, 10, -1, 0, 280, 0},
{#1057, 10, -1, 40, 280, 0},
{#1157, 10, -1, 80, 280, 0},
{#1058, 10, -1, 120, 280, 0},
{#1158, 10, -1, 160, 280, 0},
{#1059, 10, -1, 200, 280, 0},
{#1159, 10, -1, 240, 280, 0},
{#105A, 10, -1, 280, 280, 0},
{#115A, 10, -1, 320, 280, 0},
{#105B, 10, -1, 360, 280, 0},
{#115B, 10, -1, 400, 280, 0},
{#105C, 10, -1, 440, 280, 0},
{#115C, 10, -1, 480, 280, 0},
{#105D, 10, -1, 520, 280, 0},
{#115D, 10, -1, 560, 280, 0},
{#105E, 10, -1, 600, 280, 0},
{#115E, 10, -1, 640, 280, 0},
{#105F, 10, -1, 680, 280, 0},
{#115F, 10, -1, 720, 280, 0},
{#1060, 10, -1, 760, 280, 0},
{#1160, 10, -1, 800, 280, 0},
{#1061, 10, -1, 840, 280, 0},
{#1161, 10, -1, 880, 280, 0},
{#1062, 10, -1, 920, 280, 0},
{#1162, 10, -1, 960, 280, 0},
{#1063, 10, -1, 0, 320, 0},
{#1163, 10, -1, 40, 320, 0},
{#1064, 10, -1, 80, 320, 0},
{#1164, 10, -1, 120, 320, 0},
{#1065, 10, -1, 160, 320, 0},
{#1165, 10, -1, 200, 320, 0},
{#1066, 10, -1, 240, 320, 0},
{#1166, 10, -1, 280, 320, 0},
{#1067, 10, -1, 320, 320, 0},
{#1167, 10, -1, 360, 320, 0},
{#1068, 10, -1, 400, 320, 0},
{#1168, 10, -1, 440, 320, 0},
{#1069, 10, -1, 480, 320, 0},
{#1169, 10, -1, 520, 320, 0},
{#106A, 10, -1, 560, 320, 0},
{#116A, 10, -1, 600, 320, 0},
{#106B, 10, -1, 640, 320, 0},
{#116B, 10, -1, 680, 320, 0},
{#106C, 10, -1, 720, 320, 0},
{#116C, 10, -1, 760, 320, 0},
{#106D, 10, -1, 800, 320, 0},
{#116D, 10, -1, 840, 320, 0},
{#106E, 10, -1, 880, 320, 0},
{#116E, 10, -1, 920, 320, 0},
{#106F, 10, -1, 960, 320, 0},
{#116F, 10, -1, 0, 360, 0},
{#1070, 10, -1, 40, 360, 0},
{#1170, 10, -1, 80, 360, 0},
{#1071, 10, -1, 120, 360, 0},
{#1171, 10, -1, 160, 360, 0},
{#1072, 10, -1, 200, 360, 0},
{#1172, 10, -1, 240, 360, 0},
{#1073, 10, -1, 280, 360, 0},
{#1173, 10, -1, 320, 360, 0},
{#1074, 10, -1, 360, 360, 0},
{#1174, 10, -1, 400, 360, 0},
{#1075, 10, -1, 440, 360, 0},
{#1175, 10, -1, 480, 360, 0},
{#1076, 10, -1, 520, 360, 0},
{#1176, 10, -1, 560, 360, 0},
{#1077, 10, -1, 600, 360, 0},
{#1177, 10, -1, 640, 360, 0},
{#1078, 10, -1, 680, 360, 0},
{#1178, 10, -1, 720, 360, 0},
{#1079, 10, -1, 760, 360, 0},
{#1179, 10, -1, 800, 360, 0},
{#107A, 10, -1, 840, 360, 0},
{#117A, 10, -1, 880, 360, 0},
{#107B, 10, -1, 920, 360, 0},
{#117B, 10, -1, 960, 360, 0},
{#107C, 10, -1, 0, 400, 0},
{#117C, 10, -1, 40, 400, 0},
{#107D, 10, -1, 80, 400, 0},
{#117D, 10, -1, 120, 400, 0},
{#107E, 10, -1, 160, 400, 0},
{#117E, 10, -1, 200, 400, 0},
{#107F, 10, -1, 240, 400, 0},
{#117F, 10, -1, 280, 400, 0},
{#1080, 10, -1, 320, 400, 0},
{#1180, 10, -1, 360, 400, 0},
{#1081, 10, -1, 400, 400, 0},
{#1181, 10, -1, 440, 400, 0},
{#1082, 10, -1, 480, 400, 0},
{#1182, 10, -1, 520, 400, 0},
{#1083, 10, -1, 560, 400, 0},
{#1183, 10, -1, 600, 400, 0},
{#1084, 10, -1, 640, 400, 0},
{#1184, 10, -1, 680, 400, 0},
{#1085, 10, -1, 720, 400, 0},
{#1185, 10, -1, 760, 400, 0},
{#1086, 10, -1, 800, 400, 0},
{#1186, 10, -1, 840, 400, 0},
{#1087, 10, -1, 880, 400, 0},
{#1187, 10, -1, 920, 400, 0},
{#1088, 10, -1, 960, 400, 0},
{#1188, 10, -1, 0, 440, 0},
{#1089, 10, -1, 40, 440, 0},
{#1189, 10, -1, 80, 440, 0},
{#108A, 10, -1, 120, 440, 0},
{#118A, 10, -1, 160, 440, 0},
{#108B, 10, -1, 200, 440, 0},
{#118B, 10, -1, 240, 440, 0},
{#108C, 10, -1, 280, 440, 0},
{#118C, 10, -1, 320, 440, 0},
{#A00, 1, 0, 360, 440, 0},
{#A6C, 1, 1, 400, 440, 0},
{#A6D, 1, 2, 440, 440, 0},
{#A01, 1, 3, 480, 440, 0},
{#A6E, 1, 4, 520, 440, 0},
{#A3B, 1, 5, 560, 440, 0},
{#A3C, 1, 6, 600, 440, 0},
{#A02, 1, 7, 640, 440, 0},
{#A82, 1, 8, 680, 440, 1},
{#A83, 1, 9, 720, 440, 1},
{#A84, 1, 10, 760, 440, 2},
{#A47, 1, 11, 800, 440, 3},
{#B0B, 1, 12, 840, 440, 4},
{#9C8, 1, -1, 880, 440, 4},
{#9C9, 1, -1, 920, 440, 5},
{#A03, 1, -1, 960, 440, 4},
{#C01, 1, -1, 0, 480, 6},
{#C05, 1, -1, 40, 480, 4},
{#A04, 8, 0, 80, 480, 0},
{#A6F, 8, 1, 120, 480, 0},
{#A70, 8, 2, 160, 480, 0},
{#A05, 8, 3, 200, 480, 0},
{#A71, 8, 4, 240, 480, 0},
{#A06, 8, 5, 280, 480, 0},
{#A3D, 8, 6, 320, 480, 0},
{#AE0, 8, 7, 360, 480, 0},
{#A4B, 8, -1, 400, 480, 0},
{#A07, 8, 8, 440, 480, 1},
{#A85, 8, 9, 480, 480, 1},
{#A86, 8, 10, 520, 480, 2},
{#A87, 8, 11, 560, 480, 3},
{#AF6, 8, 12, 600, 480, 4},
{#9CA, 8, -1, 640, 480, 4},
{#9C0, 8, -1, 680, 480, 5},
{#B3F, 8, -1, 720, 480, 4},
{#C04, 8, -1, 760, 480, 6},
{#A08, 5, 0, 800, 480, 0},
{#A09, 5, 1, 840, 480, 0},
{#A0A, 5, 2, 880, 480, 0},
{#ACF, 5, 3, 920, 480, 1},
{#A0B, 5, 4, 960, 480, 2},
{#A0C, 5, 5, 0, 520, 3},
{#B22, 5, 6, 40, 520, 4},
{#A40, 5, -1, 80, 520, 0},
{#C0F, 5, -1, 120, 520, 6},
{#A78, 6, 1, 160, 520, 0},
{#A0D, 6, 2, 200, 520, 0},
{#A79, 6, 3, 240, 520, 0},
{#A7A, 6, 4, 280, 520, 0},
{#AD0, 6, 5, 320, 520, 0},
{#AD1, 6, 6, 360, 520, 0},
{#AD2, 6, 7, 400, 520, 0},
{#A0E, 6, 8, 440, 520, 0},
{#A3E, 6, -1, 480, 520, 1},
{#AD3, 6, 9, 520, 520, 1},
{#A8E, 6, 10, 560, 520, 2},
{#A8F, 6, 11, 600, 520, 3},
{#A90, 6, 12, 640, 520, 4},
{#AF9, 6, 13, 680, 520, 4},
{#9C1, 6, -1, 720, 520, 5},
{#9C3, 6, -1, 760, 520, 6},
{#A7B, 7, 1, 800, 520, 0},
{#A0F, 7, 2, 840, 520, 0},
{#A7C, 7, 3, 880, 520, 0},
{#A7D, 7, 4, 920, 520, 0},
{#A10, 7, 5, 960, 520, 0},
{#A11, 7, 6, 0, 560, 0},
{#ADF, 7, 7, 40, 560, 0},
{#A12, 7, 8, 80, 560, 1},
{#A13, 7, 9, 120, 560, 1},
{#A91, 7, 10, 160, 560, 2},
{#A92, 7, 11, 200, 560, 3},
{#A93, 7, 12, 240, 560, 4},
{#AFC, 7, 13, 280, 560, 4},
{#9C4, 7, -1, 320, 560, 5},
{#9C5, 7, -1, 360, 560, 6},
{#A14, 2, 0, 400, 560, 0},
{#A15, 2, 1, 440, 560, 0},
{#A72, 2, 2, 480, 560, 0},
{#A73, 2, 3, 520, 560, 0},
{#A74, 2, 4, 560, 560, 0},
{#A16, 2, 5, 600, 560, 0},
{#A17, 2, 6, 640, 560, 0},
{#709, 2, -1, 680, 560, 0},
{#A18, 2, 7, 720, 560, 0},
{#A19, 2, 8, 760, 560, 1},
{#A88, 2, 9, 800, 560, 1},
{#A89, 2, 10, 840, 560, 2},
{#A8A, 2, 11, 880, 560, 3},
{#AFF, 2, 12, 920, 560, 4},
{#9C6, 2, -1, 960, 560, 4},
{#9C7, 2, -1, 0, 600, 5},
{#C0A, 2, -1, 40, 600, 6},
{#A1A, 3, 0, 80, 600, 0},
{#A75, 3, 1, 120, 600, 0},
{#A1B, 3, 2, 160, 600, 0},
{#A76, 3, 3, 200, 600, 0},
{#A77, 3, 4, 240, 600, 0},
{#A1C, 3, 5, 280, 600, 0},
{#A1D, 3, 6, 320, 600, 0},
{#A3A, 3, 7, 360, 600, 0},
{#A1E, 3, 8, 400, 600, 1},
{#A8B, 3, 9, 440, 600, 1},
{#A8C, 3, 10, 480, 600, 2},
{#A8D, 3, 11, 520, 600, 3},
{#B02, 3, 12, 560, 600, 4},
{#9CC, 3, -1, 600, 600, 4},
{#9CD, 3, -1, 640, 600, 5},
{#C02, 3, -1, 680, 600, 6},
{#C10, 3, -1, 720, 600, 6},
{#A1F, 10, 2, 760, 600, 0},
{#A20, 10, 2, 800, 600, 0},
{#A21, 10, 2, 840, 600, 0},
{#A34, 10, 2, 880, 600, 0},
{#A35, 10, 2, 920, 600, 0},
{#A4C, 10, 2, 960, 600, 0},
{#AE9, 10, -1, 0, 640, 0},
{#AEA, 10, -1, 40, 640, 0},
{#AB0, 10, -1, 80, 640, 0},
{#ADD, 10, -1, 120, 640, 0},
{#A22, 10, 1, 160, 640, 0},
{#A23, 10, 1, 200, 640, 0},
{#B34, 10, 3, 240, 640, 0},
{#B35, 10, 3, 280, 640, 0},
{#B36, 10, 3, 320, 640, 0},
{#B37, 10, 3, 360, 640, 0},
{#B38, 10, 3, 400, 640, 0},
{#B39, 10, 3, 440, 640, 0},
{#B3A, 10, 3, 480, 640, 0},
{#B3B, 10, 3, 520, 640, 0},
{#B3C, 10, 3, 560, 640, 0},
{#B3D, 10, 3, 600, 640, 0},
{#B14, 10, -1, 640, 640, 0},
{#B15, 10, -1, 680, 640, 0},
{#B16, 10, -1, 720, 640, 0},
{#B17, 10, -1, 760, 640, 0},
{#A81, 10, -1, 800, 640, 0},
{#A48, 10, -1, 840, 640, 0},
{#A49, 10, -1, 880, 640, 0},
{#B18, 10, -1, 920, 640, 0},
{#B19, 10, -1, 960, 640, 0},
{#B1A, 10, -1, 0, 680, 0},
{#B1B, 10, -1, 40, 680, 0},
{#A4A, 10, -1, 80, 680, 0},
{#AED, 10, -1, 120, 680, 0},
{#AEE, 10, -1, 160, 680, 0},
{#A3F, 10, -1, 200, 680, 0},
{#707, 10, -1, 240, 680, 0},
{#AEB, 10, -1, 280, 680, 0},
{#AEC, 10, -1, 320, 680, 0},
{#77B, 10, -1, 360, 680, 0},
{#77C, 10, -1, 400, 680, 0},
{#B0C, 10, -1, 440, 680, 0},
{#B0D, 10, -1, 480, 680, 0},
{#B0E, 10, -1, 520, 680, 0},
{#B0F, 10, -1, 560, 680, 0},
{#B10, 10, -1, 600, 680, 0},
{#B11, 10, -1, 640, 680, 0},
{#B12, 10, -1, 680, 680, 0},
{#B13, 10, -1, 720, 680, 0},
{#A41, 9, -1, 760, 680, 0},
{#708, 9, -1, 800, 680, 0},
{#A4F, 9, 0, 840, 680, 0},
{#A24, 9, 1, 880, 680, 0},
{#A25, 9, 1, 920, 680, 0},
{#A26, 9, 1, 960, 680, 0},
{#A36, 9, 1, 0, 720, 0},
{#A37, 9, 1, 40, 720, 0},
{#A4D, 9, 1, 80, 720, 0},
{#A27, 9, 1, 120, 720, 0},
{#A28, 9, 1, 160, 720, 0},
{#A29, 9, 2, 200, 720, 1},
{#A2A, 9, 2, 240, 720, 1},
{#A2B, 9, 2, 280, 720, 1},
{#A38, 9, 2, 320, 720, 1},
{#A39, 9, 2, 360, 720, 1},
{#A4E, 9, 2, 400, 720, 1},
{#A2C, 9, 2, 440, 720, 1},
{#A2D, 9, 2, 480, 720, 1},
{#AB7, 9, 3, 520, 720, 2},
{#AB8, 9, 3, 560, 720, 2},
{#AB9, 9, 3, 600, 720, 2},
{#ABA, 9, 3, 640, 720, 2},
{#ABB, 9, 3, 680, 720, 2},
{#ABC, 9, 3, 720, 720, 2},
{#ABD, 9, 3, 760, 720, 2},
{#ABE, 9, 3, 800, 720, 2},
{#ABF, 9, 4, 840, 720, 3},
{#AC0, 9, 4, 880, 720, 3},
{#AC1, 9, 4, 920, 720, 3},
{#AC2, 9, 4, 960, 720, 3},
{#AC3, 9, 4, 0, 760, 3},
{#AC4, 9, 4, 40, 760, 3},
{#AC5, 9, 4, 80, 760, 3},
{#AC6, 9, 4, 120, 760, 3},
{#AC7, 9, 5, 160, 760, 4},
{#AC8, 9, 5, 200, 760, 4},
{#AC9, 9, 5, 240, 760, 4},
{#ACA, 9, 5, 280, 760, 4},
{#ACB, 9, 5, 320, 760, 4},
{#ACC, 9, 5, 360, 760, 4},
{#ACD, 9, 5, 400, 760, 4},
{#ACE, 9, 5, 440, 760, 4},
{#BA0, 9, -1, 480, 760, 5},
{#BA1, 9, -1, 520, 760, 5},
{#BA2, 9, -1, 560, 760, 5},
{#A2E, 11, 0, 600, 760, 0},
{#AD4, 11, 1, 640, 760, 0},
{#A2F, 11, 2, 680, 760, 0},
{#AD5, 11, 3, 720, 760, 1},
{#AD6, 11, 4, 760, 760, 2},
{#A30, 11, 5, 800, 760, 3},
{#B24, 11, 6, 840, 760, 4},
{#9CE, 11, -1, 880, 760, 6},
{#A31, 4, 0, 920, 760, 0},
{#AD7, 4, 1, 960, 760, 0},
{#A32, 4, 2, 0, 800, 0},
{#AD8, 4, 3, 40, 800, 1},
{#A33, 4, 4, 80, 800, 2},
{#A5B, 4, 5, 120, 800, 3},
{#B25, 4, 6, 160, 800, 4},
{#A50, 10, -1, 200, 800, 0},
{#A51, 10, -1, 240, 800, 0},
{#A52, 12, 0, 280, 800, 0},
{#AD9, 12, 1, 320, 800, 0},
{#A53, 12, 2, 360, 800, 0},
{#ADA, 12, 3, 400, 800, 1},
{#A54, 12, 4, 440, 800, 2},
{#A55, 12, 5, 480, 800, 3},
{#B26, 12, 6, 520, 800, 4},
{#C06, 12, -1, 560, 800, 6},
{#A56, 13, 0, 600, 800, 0},
{#A57, 13, 1, 640, 800, 0},
{#A58, 13, 2, 680, 800, 0},
{#ADB, 13, 3, 720, 800, 1},
{#A59, 13, 4, 760, 800, 2},
{#AE1, 13, 5, 800, 800, 3},
{#B27, 13, 6, 840, 800, 4},
{#A5A, 13, -1, 880, 800, 6},
{#A5C, 14, 1, 920, 800, 0},
{#A7E, 14, 2, 960, 800, 0},
{#A5D, 14, 3, 0, 840, 0},
{#A7F, 14, 4, 40, 840, 0},
{#A80, 14, 5, 80, 840, 0},
{#A5E, 14, 6, 120, 840, 0},
{#A5F, 14, 7, 160, 840, 0},
{#ADC, 14, 8, 200, 840, 1},
{#A60, 14, 9, 240, 840, 1},
{#A94, 14, 10, 280, 840, 2},
{#A95, 14, 11, 320, 840, 3},
{#A96, 14, 12, 360, 840, 4},
{#B05, 14, 13, 400, 840, 4},
{#9CF, 14, -1, 440, 840, 5},
{#9D0, 14, -1, 480, 840, 6},
{#A61, 15, 0, 520, 840, 0},
{#A62, 15, 1, 560, 840, 0},
{#A63, 15, 2, 600, 840, 0},
{#ADE, 15, 3, 640, 840, 1},
{#A64, 15, 4, 680, 840, 2},
{#A65, 15, 5, 720, 840, 3},
{#B28, 15, 6, 760, 840, 4},
{#C07, 15, -1, 800, 840, 6},
{#A66, 16, 0, 840, 840, 0},
{#A67, 16, 1, 880, 840, 0},
{#A68, 16, 2, 920, 840, 0},
{#A69, 16, 3, 960, 840, 1},
{#A6A, 16, 4, 0, 880, 2},
{#A6B, 16, 5, 40, 880, 3},
{#B29, 16, 6, 80, 880, 4},
{#C08, 16, -1, 120, 880, 6},
{#A97, 17, 0, 160, 880, 0},
{#A98, 17, 1, 200, 880, 0},
{#A99, 17, 2, 240, 880, 0},
{#A9A, 17, 3, 280, 880, 0},
{#A9B, 17, 4, 320, 880, 0},
{#A9C, 17, 5, 360, 880, 0},
{#A9D, 17, 6, 400, 880, 0},
{#A9E, 17, 7, 440, 880, 0},
{#A9F, 17, 8, 480, 880, 1},
{#AA0, 17, 9, 520, 880, 1},
{#AA1, 17, 10, 560, 880, 2},
{#AA2, 17, 11, 600, 880, 3},
{#B08, 17, 12, 640, 880, 4},
{#9D1, 17, -1, 680, 880, 4},
{#910, 17, -1, 720, 880, 5},
{#C03, 17, -1, 760, 880, 6},
{#AA3, 18, 0, 800, 880, 0},
{#AA4, 18, 1, 840, 880, 0},
{#AA5, 18, 2, 880, 880, 0},
{#AA6, 18, 3, 920, 880, 1},
{#AA7, 18, 4, 960, 880, 2},
{#AA8, 18, 5, 0, 920, 3},
{#B2A, 18, 6, 40, 920, 4},
{#AAA, 19, 0, 80, 920, 0},
{#AAB, 19, 1, 120, 920, 0},
{#AAC, 19, 2, 160, 920, 0},
{#AAD, 19, 3, 200, 920, 1},
{#AAE, 19, 4, 240, 920, 2},
{#AAF, 19, 5, 280, 920, 3},
{#B2B, 19, 6, 320, 920, 4},
{#911, 19, -1, 360, 920, 6},
{#AB1, 20, 0, 400, 920, 0},
{#AB2, 20, 1, 440, 920, 0},
{#AB3, 20, 2, 480, 920, 0},
{#AB4, 20, 3, 520, 920, 1},
{#AB5, 20, 4, 560, 920, 2},
{#AB6, 20, 5, 600, 920, 3},
{#B2C, 20, 6, 640, 920, 4},
{#AE4, 21, 0, 680, 920, 0},
{#A42, 21, 1, 720, 920, 0},
{#A43, 21, 2, 760, 920, 0},
{#A44, 21, 3, 800, 920, 1},
{#A45, 21, 4, 840, 920, 2},
{#A46, 21, 5, 880, 920, 3},
{#B2D, 21, 6, 920, 920, 4},
{#C0B, 21, -1, 960, 920, 6},
{#AA9, 10, -1, 0, 960, 0},
{#AEF, 10, -1, 40, 960, 0},
{#AF0, 10, -1, 80, 960, 0},
{#AF1, 10, -1, 120, 960, 0},
{#AF2, 10, -1, 160, 960, 0},
{#AF3, 10, -1, 200, 960, 0},
{#AE3, 22, 0, 240, 960, 0},
{#B1C, 22, 1, 280, 960, 0},
{#B1D, 22, 2, 320, 960, 0},
{#B1E, 22, 3, 360, 960, 1},
{#B1F, 22, 4, 400, 960, 2},
{#B20, 22, 5, 440, 960, 3},
{#B23, 22, 6, 480, 960, 4},
{#912, 22, -1, 520, 960, 6},
{#B21, 2, -1, 560, 960, 4},
{#AE5, 23, 0, 600, 960, 0},
{#B2E, 23, 1, 640, 960, 0},
{#B2F, 23, 2, 680, 960, 0},
{#B30, 23, 3, 720, 960, 1},
{#B31, 23, 4, 760, 960, 2},
{#B32, 23, 5, 800, 960, 3},
{#B33, 23, 6, 840, 960, 4},
{#B3E, 9, -1, 880, 960, 0},
{#9D4, 1, -1, 920, 960, 0},
{#701, 10, -1, 960, 960, 0},
{#705, 10, -1, 0, 1000, 0},
{#706, 10, -1, 40, 1000, 0},
{#70A, 10, -1, 80, 1000, 0},
{#70B, 10, -1, 120, 1000, 0},
{#710, 10, -1, 160, 1000, 0},
{#71F, 10, -1, 200, 1000, 0},
{#722, 10, -1, 240, 1000, 0},
{#C11, 10, -1, 280, 1000, 0},
{#C12, 10, -1, 320, 1000, 0},
{#C13, 9, -1, 360, 1000, 4},
{#C14, 14, -1, 400, 1000, 2},
{#C15, 17, -1, 440, 1000, 2},
{#C16, 19, -1, 480, 1000, 2},
{#C17, 9, -1, 520, 1000, 0},
{#C18, 6, -1, 560, 1000, 5},
{#C19, 10, -1, 600, 1000, 0},
{#C1A, 10, -1, 640, 1000, 0},
{#9D5, 3, -1, 680, 1000, 6},
{#C1C, 20, -1, 720, 1000, 4},
{#C1D, 8, -1, 760, 1000, 3},
{#C1E, 4, -1, 800, 1000, 6},
{#C09, 4, -1, 840, 1000, 6},
{#C1F, 14, -1, 880, 1000, 3},
{#C20, 9, -1, 920, 1000, 3},
{#C21, 10, -1, 960, 1000, 0},
{#C22, 2, -1, 0, 1040, 2},
{#C23, 10, -1, 40, 1040, 0},
{#C24, 17, 0, 80, 1040, 2},
{#C25, 10, -1, 120, 1040, 0},
